800	2	0	0
0	486	518	1
1	673	680	1
2	632	651	1
3	534	545	1
4	186	230	1
5	271	286	1
6	341	349	1
7	386	401	1
8	127	134	1
9	326	333	1
10	321	326	1
11	654	679	1
12	327	331	1
13	634	695	1
14	507	517	1
15	300	310	1
16	447	466	1
17	729	731	1
18	693	710	1
19	187	189	1
20	354	363	1
21	786	803	1
22	259	281	1
23	602	610	1
24	177	190	1
25	273	277	1
26	187	190	1
27	273	276	1
28	234	254	1
29	265	295	1
30	731	762	1
31	40	52	1
32	276	281	1
33	405	433	1
34	32	34	1
35	18	47	1
36	426	448	1
37	623	626	1
38	647	662	1
39	593	598	1
40	381	387	1
41	743	748	1
42	283	286	1
43	752	769	1
44	610	622	1
45	586	615	1
46	379	385	1
47	253	260	1
48	518	520	1
49	157	164	1
50	290	297	1
51	509	531	1
52	212	222	1
53	237	240	1
54	237	247	1
55	277	300	1
56	2	20	1
57	258	282	1
58	78	83	1
59	438	440	1
60	231	239	1
61	53	56	1
62	322	330	1
63	487	491	1
64	675	683	1
65	665	671	1
66	71	74	1
67	126	145	1
68	267	278	1
69	254	257	1
70	601	619	1
71	704	716	1
72	8	20	1
73	267	282	1
74	34	51	1
75	231	239	1
76	482	506	1
77	665	670	1
78	213	229	1
79	444	451	1
80	325	329	1
81	450	452	1
82	292	317	1
83	793	815	1
84	701	706	1
85	171	177	1
86	40	48	1
87	598	609	1
88	40	44	1
89	422	424	1
90	178	191	1
91	581	591	1
92	525	538	1
93	384	391	1
94	78	89	1
95	452	456	1
96	105	123	1
97	556	567	1
98	644	650	1
99	585	601	1
100	153	155	1
101	607	620	1
102	45	48	1
103	557	561	1
104	290	304	1
105	657	666	1
106	251	270	1
107	632	665	1
108	217	220	1
109	165	183	1
110	259	279	1
111	85	93	1
112	204	208	1
113	797	799	1
114	99	105	1
115	370	373	1
116	622	625	1
117	598	607	1
118	562	575	1
119	674	690	1
120	405	408	1
121	97	100	1
122	617	644	1
123	760	772	1
124	165	172	1
125	152	166	1
126	429	454	1
127	402	404	1
128	433	436	1
129	67	74	1
130	121	123	1
131	775	796	1
132	391	396	1
133	418	439	1
134	628	636	1
135	506	509	1
136	355	372	1
137	202	205	1
138	243	251	1
139	614	616	1
140	549	556	1
141	42	53	1
142	539	557	1
143	774	799	1
144	764	766	1
145	238	246	1
146	415	424	1
147	571	573	1
148	91	107	1
149	151	163	1
150	322	325	1
151	183	204	1
152	237	249	1
153	542	548	1
154	205	208	1
155	639	647	1
156	379	394	1
157	640	642	1
158	232	256	1
159	447	449	1
160	114	124	1
161	712	716	1
162	176	178	1
163	361	377	1
164	462	464	1
165	99	101	1
166	486	505	1
167	196	201	1
168	189	208	1
169	726	736	1
170	92	117	1
171	17	51	1
172	46	48	1
173	747	770	1
174	788	812	1
175	712	723	1
176	768	780	1
177	94	99	1
178	734	737	1
179	454	459	1
180	760	774	1
181	299	308	1
182	772	792	1
183	242	250	1
184	504	523	1
185	770	777	1
186	496	504	1
187	305	309	1
188	479	488	1
189	224	248	1
190	743	745	1
191	551	555	1
192	222	246	1
193	632	635	1
194	306	319	1
195	217	226	1
196	184	188	1
197	664	668	1
198	280	291	1
199	84	90	1
200	581	587	1
201	345	356	1
202	336	350	1
203	479	487	1
204	791	794	1
205	350	359	1
206	471	474	1
207	64	67	1
208	273	281	1
209	499	505	1
210	325	332	1
211	621	630	1
212	647	649	1
213	745	754	1
214	432	454	1
215	671	677	1
216	343	354	1
217	782	785	1
218	698	711	1
219	731	738	1
220	296	311	1
221	4	20	1
222	52	61	1
223	107	117	1
224	200	203	1
225	669	673	1
226	785	792	1
227	147	149	1
228	35	53	1
229	497	536	1
230	699	702	1
231	354	379	1
232	221	223	1
233	598	621	1
234	6	10	1
235	69	82	1
236	413	440	1
237	245	248	1
238	609	624	1
239	465	472	1
240	414	427	1
241	626	634	1
242	472	486	1
243	343	358	1
244	153	161	1
245	54	71	1
246	773	781	1
247	659	662	1
248	545	547	1
249	483	491	1
250	83	88	1
251	785	797	1
252	557	564	1
253	251	256	1
254	625	634	1
255	466	474	1
256	367	373	1
257	716	728	1
258	339	366	1
259	317	341	1
260	72	85	1
261	627	631	1
262	334	359	1
263	70	78	1
264	757	772	1
265	617	623	1
266	761	779	1
267	481	484	1
268	657	669	1
269	237	270	1
270	612	620	1
271	54	56	1
272	334	348	1
273	471	486	1
274	749	755	1
275	598	602	1
276	86	90	1
277	552	571	1
278	712	715	1
279	282	296	1
280	222	234	1
281	514	530	1
282	264	266	1
283	564	570	1
284	173	180	1
285	176	178	1
286	2	7	1
287	695	704	1
288	227	246	1
289	233	246	1
290	141	144	1
291	236	252	1
292	571	585	1
293	88	103	1
294	240	250	1
295	573	575	1
296	157	160	1
297	112	128	1
298	207	216	1
299	642	653	1
300	754	768	1
301	562	570	1
302	215	220	1
303	602	614	1
304	255	274	1
305	499	510	1
306	56	74	1
307	132	150	1
308	697	701	1
309	705	710	1
310	436	444	1
311	250	257	1
312	762	772	1
313	325	338	1
314	542	562	1
315	167	170	1
316	83	91	1
317	463	473	1
318	503	511	1
319	751	754	1
320	386	390	1
321	440	444	1
322	365	380	1
323	16	19	1
324	237	246	1
325	187	190	1
326	670	684	1
327	44	48	1
328	85	97	1
329	367	387	1
330	215	227	1
331	118	162	1
332	546	552	1
333	248	256	1
334	144	147	1
335	380	385	1
336	666	673	1
337	392	395	1
338	299	303	1
339	138	141	1
340	569	580	1
341	629	633	1
342	85	89	1
343	44	55	1
344	414	428	1
345	395	398	1
346	566	600	1
347	772	786	1
348	769	775	1
349	383	386	1
350	558	601	1
351	187	216	1
352	705	707	1
353	123	127	1
354	422	448	1
355	186	189	1
356	111	120	1
357	414	423	1
358	354	358	1
359	213	230	1
360	126	130	1
361	721	723	1
362	262	266	1
363	628	632	1
364	704	707	1
365	246	284	1
366	382	386	1
367	424	457	1
368	347	351	1
369	56	88	1
370	46	65	1
371	305	319	1
372	764	767	1
373	218	234	1
374	205	215	1
375	215	223	1
376	138	142	1
377	659	669	1
378	363	375	1
379	242	249	1
380	758	766	1
381	110	119	1
382	355	362	1
383	339	346	1
384	773	778	1
385	413	424	1
386	489	496	1
387	199	204	1
388	379	383	1
389	767	775	1
390	286	288	1
391	98	116	1
392	258	269	1
393	74	97	1
394	492	499	1
395	591	594	1
396	693	700	1
397	67	74	1
398	292	309	1
399	124	127	1
400	427	429	1
401	72	95	1
402	527	539	1
403	732	765	1
404	16	27	1
405	524	536	1
406	389	402	1
407	368	374	1
408	585	593	1
409	208	215	1
410	523	525	1
411	651	654	1
412	137	189	1
413	752	770	1
414	357	404	1
415	470	473	1
416	527	530	1
417	797	800	1
418	133	143	1
419	696	703	1
